AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
23,Darjeeling,Darjiling,12.8,0.05,0.02,0.02,0.01,0.1
3,Coochbehar Uttar,Koch Bihar,6.0,0.05,0.02,0.02,0.01,0.1
231,Ghatal,Paschim Medinipur,0.4,0.05,0.02,0.02,0.01,0.1
173,Howrah Dakshin,Haora,23.6,0.05,0.02,0.02,0.01,0.1
171,Howrah Madhya,Haora,24.2,0.05,0.02,0.02,0.01,0.1
13,Falakata,Jalpaiguri,1.8,0.05,0.02,0.02,0.01,0.1
218,Egra,Purba Medinipur,7.7,0.05,0.02,0.02,0.01,0.1
174,Sankrail,Haora,18.4,0.05,0.02,0.02,0.01,0.1
177,Uluberia Uttar,Haora,11.4,0.05,0.02,0.02,0.01,0.1
9,Tufanganj,Koch Bihar,15.0,0.05,0.02,0.02,0.01,0.1
182,Udaynarayanpur,Haora,7.1,0.05,0.02,0.02,0.01,0.1
178,Uluberia Dakshin,Haora,14.2,0.05,0.02,0.02,0.01,0.1
78,Tehatta,Nadia,3.2,0.05,0.02,0.02,0.01,0.1
