AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,Candidate_Present,Candidate_Placeholder,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
69,Bharatpur,Murshidabad,GEN,All India Trinamool Congress,0.8853115532894779,0,0,0.8853115532894779,0.10823337607022517,0.006455070640297002
267,Bhatar,Barddhaman,GEN,All India Trinamool Congress,0.9957453846710422,0,0,0.9957453846710422,0.004049683420829237,0.0002049319081286183
105,Bhatpara,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.9766527468255072,0,0,0.017280132983565785,0.9766527468255072,0.006067120190926901
116,Bidhannagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.7818885471140198,0,0,0.7818885471140198,0.17314865582012948,0.04496279706585071
103,Bijpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.5505806749776778,0,0,0.5505806749776778,0.35459666077636554,0.09482266424595655
237,Binpur,Paschim Medinipur,ST,All India Trinamool Congress,0.9846360195040638,0,0,0.9846360195040638,0.014335647418141837,0.0010283330777944959
146,Bishnupur (SC),South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9786044606902499,0,0,0.9786044606902499,0.013894452841403147,0.007501086468347073
255,Bishnupur,Bankura,SC,Bharatiya Janta Party,0.995246343349573,0,0,0.0040147999117783675,0.995246343349573,0.0007388567386486601
286,Bolpur,Birbhum,GEN,All India Trinamool Congress,0.9443409087156205,0,0,0.9443409087156205,0.050591679906404265,0.005067411377975277
156,Budge Budge,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9974430695973331,0,0,0.9974430695973331,0.0023219743428599467,0.00023495605980687883
67,Burwan,Murshidabad,SC,All India Trinamool Congress,0.5592669965459537,0,0,0.5592669965459537,0.39559169804396277,0.04514130541008348
138,Canning Paschim,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9656252094275353,0,0,0.9656252094275353,0.03214782374952713,0.002226966822937483
139,Canning Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8359355199632045,0,0,0.8359355199632045,0.07458854210218649,0.08947593793460898
91,Chakdaha,Nadia,GEN,Bharatiya Janta Party,0.9922890720801387,0,0,0.006927162013718947,0.9922890720801387,0.0007837659061422904
31,Chakulia,Uttar Dinajpur,GEN,All India Trinamool Congress,0.8640684627856875,0,0,0.8640684627856875,0.10554236010413344,0.03038917711017913
187,Champdani,Hugli,GEN,All India Trinamool Congress,0.9266337479601683,0,0,0.9266337479601683,0.06748540023975173,0.005880851800080034
45,Chanchal,Maldah,GEN,All India Trinamool Congress,0.8923232507644123,0,0,0.8923232507644123,0.1044185054740579,0.0032582437615296905
189,Chandannagar,Hugli,GEN,All India Trinamool Congress,0.9823043968569904,0,0,0.9823043968569904,0.014501118015092775,0.003194485127916786
211,Chandipur,Purba Medinipur,GEN,All India Trinamool Congress,0.7013959380275223,0,0,0.7013959380275223,0.29188606090947966,0.006718001062998029
194,Chanditala,Hugli,GEN,All India Trinamool Congress,0.9882644725498795,0,0,0.9882644725498795,0.00980519868903778,0.0019303287610826904
232,Chandrakona,Paschim Medinipur,SC,Bharatiya Janta Party,0.8588796833459347,0,0,0.13001098003999245,0.8588796833459347,0.011109336614072898
82,Chapra,Nadia,GEN,All India Trinamool Congress,0.7114494456036188,0,0,0.7114494456036188,0.2854411616520283,0.003109392744352926
248,Chhatna,Bankura,GEN,Bharatiya Janta Party,0.9987997241176444,0,0,0.0009106671836269402,0.9987997241176444,0.0002896086987286296
28,Chopra,Uttar Dinajpur,GEN,Bharatiya Janta Party,0.8277931576682583,0,0,0.16695371317481555,0.8277931576682583,0.005253129156926171
162,Chowrangee,Kolkata,GEN,All India Trinamool Congress,0.9853059999724018,0,0,0.9853059999724018,0.011842121486257288,0.002851878541341029
190,Chunchura,Hugli,GEN,Bharatiya Janta Party,0.611059794076123,0,0,0.3526406561047448,0.611059794076123,0.036299549819132075
4,Cooch Behar Dakshin,Koch Bihar,GEN,Bharatiya Janta Party,0.8713186026846308,0,0,0.08461694526612441,0.8713186026846308,0.044064452049244786
3,Coochbehar Uttar,Koch Bihar,SC,Bharatiya Janta Party,0.9982586373883516,0,0,0.0006898463543179494,0.9982586373883516,0.0010515162573304392
