AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
136,Jaynagar,South  Twenty Four Parganas,19.2,0.16,All India Trinamool Congress,0.9819758640179396,All India Trinamool Congress,0.832743341842599
150,Jadavpur,South  Twenty Four Parganas,18.3,0.16,All India Trinamool Congress,0.9756588579956468,All India Trinamool Congress,0.8276259954871196
202,Khanakul,Hugli,6.0,0.14,Bharatiya Janta Party,0.9952173997521,Bharatiya Janta Party,0.995448382044043
195,Jangipara,Hugli,8.6,0.14,All India Trinamool Congress,0.9641842463649902,All India Trinamool Congress,0.8358459897227443
158,Kolkata Port,Kolkata,45.4,0.14,All India Trinamool Congress,0.993117761138458,All India Trinamool Congress,0.8599239779655397
194,Chanditala,Hugli,20.2,0.14,All India Trinamool Congress,0.9882644725498796,All India Trinamool Congress,0.855889074134731
196,Haripal,Hugli,10.6,0.14,All India Trinamool Congress,0.868443412552978,All India Trinamool Congress,0.7557695485183908
201,Goghat,Hugli,1.9,0.14,Bharatiya Janta Party,0.9971050601098924,Bharatiya Janta Party,0.9972510376314716
165,Jorasanko,Kolkata,13.0,0.14,All India Trinamool Congress,0.6699586475198782,All India Trinamool Congress,0.5877640407862396
197,Dhanekhali,Hugli,13.0,0.14,All India Trinamool Congress,0.7308840343047897,All India Trinamool Congress,0.6396228146095612
190,Chunchura,Hugli,7.4,0.14,Bharatiya Janta Party,0.611059794076123,Bharatiya Janta Party,0.6361959391321452
192,Pandua,Hugli,14.4,0.14,All India Trinamool Congress,0.967537370104936,All India Trinamool Congress,0.838639284238041
187,Champdani,Hugli,15.2,0.14,All India Trinamool Congress,0.9266337479601684,All India Trinamool Congress,0.8045131029996165
168,Kashipur-Belgachhia,Kolkata,26.6,0.14,All India Trinamool Congress,0.9918870639393804,All India Trinamool Congress,0.8589009562687401
186,Sreerampur,Hugli,12.6,0.14,All India Trinamool Congress,0.8244122070998654,All India Trinamool Congress,0.7187334406740893
160,Rashbehari,Kolkata,17.4,0.14,All India Trinamool Congress,0.954573660209624,All India Trinamool Congress,0.827835772140372
166,Shyampukur,Kolkata,22.1,0.14,All India Trinamool Congress,0.9834829287649344,All India Trinamool Congress,0.8519122723271296
200,Arambag,Hugli,3.3,0.14,Bharatiya Janta Party,0.9938705803418804,Bharatiya Janta Party,0.9942011094572089
199,Pursurah,Hugli,12.8,0.14,Bharatiya Janta Party,0.988099046586391,Bharatiya Janta Party,0.988700994143984
193,Saptagram,Hugli,5.2,0.14,All India Trinamool Congress,0.8320259451165105,All India Trinamool Congress,0.7251470729875531
188,Singur,Hugli,12.5,0.14,All India Trinamool Congress,0.989673399462042,All India Trinamool Congress,0.85706058373391
185,Uttarpara,Hugli,18.3,0.14,All India Trinamool Congress,0.974640349156236,All India Trinamool Congress,0.8445538711834814
159,Bhabanipur,Kolkata,22.8,0.14,All India Trinamool Congress,0.98721247958828,All India Trinamool Congress,0.8550142649788763
167,Maniktola,Kolkata,15.4,0.14,All India Trinamool Congress,0.9587594911605116,All India Trinamool Congress,0.8313253366433238
189,Chandannagar,Hugli,17.3,0.14,All India Trinamool Congress,0.9823043968569904,All India Trinamool Congress,0.850931853709381
162,Chowrangee,Kolkata,41.1,0.14,All India Trinamool Congress,0.9853059999724018,All India Trinamool Congress,0.8534286984553646
198,Tarakeswar,Hugli,3.7,0.14,All India Trinamool Congress,0.9454079416368508,All India Trinamool Congress,0.8201905477418339
163,Entally,Kolkata,37.4,0.14,All India Trinamool Congress,0.993447417168264,All India Trinamool Congress,0.8601979885468168
